acct_card_no,prob_true
Act_275302,1.0
Act_269618,1.0
Act_269617,1.0
Act_275309,1.0
Act_275323,1.0
Act_275328,1.0
Act_269603,1.0
Act_275232,1.0
Act_269602,1.0
Act_269596,1.0
Act_269593,1.0
Act_275345,1.0
Act_260225,1.0
Act_262337,1.0
Act_274829,1.0
Act_285052,1.0
Act_262299,1.0
Act_260221,1.0
Act_282332,1.0
Act_283536,1.0
Act_283538,1.0
Act_282325,1.0
Act_282316,1.0
Act_262310,1.0
Act_282262,1.0
Act_282257,1.0
Act_260977,1.0
Act_282217,1.0
Act_262403,1.0
Act_262409,1.0
Act_282225,1.0
Act_261085,1.0
Act_282223,1.0
Act_262417,1.0
Act_261084,1.0
Act_261082,1.0
Act_259457,1.0
Act_284383,1.0
Act_282218,1.0
Act_283550,1.0
Act_285054,1.0
Act_262438,1.0
Act_285109,1.0
Act_282211,1.0
Act_283551,1.0
Act_262295,1.0
Act_282337,1.0
Act_282340,1.0
Act_282306,1.0
Act_260227,1.0
Act_262361,1.0
Act_282268,1.0
Act_259505,1.0
Act_282265,1.0
Act_282264,1.0
Act_282263,1.0
Act_262354,1.0
Act_261110,1.0
Act_262358,1.0
Act_259497,1.0
Act_259495,1.0
Act_284417,1.0
Act_262321,1.0
Act_282342,1.0
Act_262318,1.0
Act_260222,1.0
Act_261136,1.0
Act_261135,1.0
Act_283518,1.0
Act_283519,1.0
Act_262273,1.0
Act_282349,1.0
Act_262275,1.0
Act_262276,1.0
Act_284427,1.0
Act_262283,1.0
Act_261124,1.0
Act_269860,1.0
Act_275067,1.0
Act_275063,1.0
Act_275045,1.0
Act_275470,1.0
Act_269472,1.0
Act_269504,1.0
Act_275485,1.0
Act_275490,1.0
Act_269468,1.0
Act_269465,1.0
Act_269456,1.0
Act_275499,1.0
Act_275502,1.0
Act_269497,1.0
Act_269506,1.0
Act_269878,1.0
Act_269543,1.0
Act_269563,1.0
Act_269562,1.0
Act_269553,1.0
Act_275378,1.0
Act_275380,1.0
Act_275393,1.0
Act_275397,1.0
Act_269540,1.0
Act_269507,1.0
Act_269522,1.0
Act_269521,1.0
Act_275418,1.0
Act_269515,1.0
Act_275436,1.0
Act_269509,1.0
Act_275469,1.0
Act_275468,1.0
Act_269487,1.0
Act_274785,1.0
Act_274830,1.0
Act_274834,1.0
Act_274840,1.0
Act_274818,1.0
Act_270191,1.0
Act_270197,1.0
Act_270199,1.0
Act_270240,1.0
Act_274774,1.0
Act_274777,1.0
Act_274778,1.0
Act_274781,1.0
Act_274784,1.0
Act_274788,1.0
Act_275465,1.0
Act_274794,1.0
Act_274800,1.0
Act_274804,1.0
Act_270208,1.0
Act_274805,1.0
Act_274812,1.0
Act_274816,1.0
Act_275027,1.0
Act_275043,1.0
Act_269278,1.0
Act_269474,1.0
Act_269495,1.0
Act_275463,1.0
Act_275445,1.0
Act_269450,1.0
Act_275511,1.0
Act_275149,1.0
Act_269395,1.0
Act_269390,1.0
Act_269387,1.0
Act_269385,1.0
Act_269567,1.0
Act_269572,1.0
Act_275365,1.0
Act_275157,1.0
Act_269800,1.0
Act_275138,1.0
Act_269797,1.0
Act_275143,1.0
Act_269787,1.0
Act_275155,1.0
Act_269401,1.0
Act_275173,1.0
Act_269731,1.0
Act_275179,1.0
Act_269748,1.0
Act_275186,1.0
Act_275187,1.0
Act_275189,1.0
Act_275195,1.0
Act_269739,1.0
Act_275133,1.0
Act_269804,1.0
Act_275122,1.0
Act_275121,1.0
Act_275545,1.0
Act_269408,1.0
Act_269439,1.0
Act_275640,1.0
Act_269316,1.0
Act_269343,1.0
Act_275597,1.0
Act_275598,1.0
Act_269335,1.0
Act_269331,1.0
Act_275612,1.0
Act_275615,1.0
Act_269315,1.0
Act_275512,1.0
Act_269305,1.0
Act_269300,1.0
Act_275636,1.0
Act_269292,1.0
Act_269415,1.0
Act_269290,1.0
Act_269283,1.0
Act_269348,1.0
Act_269360,1.0
Act_275579,1.0
Act_275558,1.0
Act_269434,1.0
Act_275513,1.0
Act_275515,1.0
Act_275517,1.0
Act_275520,1.0
Act_275522,1.0
Act_275524,1.0
Act_260004,1.0
Act_284616,1.0
Act_259978,1.0
Act_260346,1.0
Act_256580,1.0
Act_256492,1.0
Act_285780,1.0
Act_284035,1.0
Act_284163,1.0
Act_284042,1.0
Act_260461,1.0
Act_263744,1.0
Act_263747,1.0
Act_249248,1.0
Act_251198,1.0
Act_280868,1.0
Act_260463,1.0
Act_263759,1.0
Act_249799,1.0
Act_285826,1.0
Act_263760,1.0
Act_284054,1.0
Act_280863,1.0
Act_280862,1.0
Act_283886,1.0
Act_258914,1.0
Act_281589,1.0
Act_259131,1.0
Act_281656,1.0
Act_283776,1.0
Act_281652,1.0
Act_285404,1.0
Act_260878,1.0
Act_284030,1.0
Act_260458,1.0
Act_284050,1.0
Act_284060,1.0
Act_280901,1.0
Act_263828,1.0
Act_263724,1.0
Act_248680,1.0
Act_280850,1.0
Act_285832,1.0
Act_285833,1.0
Act_285834,1.0
Act_285840,1.0
Act_280841,1.0
Act_260561,1.0
Act_241370,1.0
Act_263794,1.0
Act_280818,1.0
Act_248859,1.0
Act_280817,1.0
Act_284061,1.0
Act_239286,1.0
Act_280808,1.0
Act_260469,1.0
Act_285880,1.0
Act_280797,1.0
Act_238098,1.0
Act_280795,1.0
Act_263824,1.0
Act_280794,1.0
Act_280853,1.0
Act_263772,1.0
Act_259135,1.0
Act_281643,1.0
Act_263142,1.0
Act_285406,1.0
Act_259147,1.0
Act_284291,1.0
Act_285401,1.0
Act_281669,1.0
Act_259141,1.0
Act_259139,1.0
Act_281666,1.0
Act_263049,1.0
Act_263050,1.0
Act_259122,1.0
Act_263130,1.0
Act_259102,1.0
Act_283792,1.0
Act_263098,1.0
Act_259098,1.0
Act_263108,1.0
Act_260835,1.0
Act_281560,1.0
Act_263127,1.0
Act_263128,1.0
Act_263129,1.0
Act_281556,1.0
Act_283789,1.0
Act_285456,1.0
Act_285458,1.0
Act_263134,1.0
Act_281555,1.0
Act_281551,1.0
Act_281548,1.0
Act_281691,1.0
Act_260882,1.0
Act_259158,1.0
Act_263008,1.0
Act_284284,1.0
Act_259127,1.0
Act_281657,1.0
Act_260873,1.0
Act_281627,1.0
Act_260351,1.0
Act_281620,1.0
Act_281612,1.0
Act_260868,1.0
Act_260354,1.0
Act_263043,1.0
Act_259124,1.0
Act_263047,1.0
Act_281661,1.0
Act_281665,1.0
Act_260341,1.0
Act_281698,1.0
Act_260891,1.0
Act_259170,1.0
Act_259169,1.0
Act_281705,1.0
Act_262973,1.0
Act_281704,1.0
Act_281702,1.0
Act_283768,1.0
Act_262981,1.0
Act_285390,1.0
Act_281695,1.0
Act_258720,1.0
Act_258758,1.0
Act_258761,1.0
Act_284019,1.0
Act_284111,1.0
Act_220679,1.0
Act_263962,1.0
Act_280658,1.0
Act_263964,1.0
Act_263966,1.0
Act_219933,1.0
Act_260512,1.0
Act_280653,1.0
Act_263973,1.0
Act_280650,1.0
Act_285939,1.0
Act_280646,1.0
Act_260514,1.0
Act_219260,1.0
Act_280639,1.0
Act_285940,1.0
Act_280683,1.0
Act_263949,1.0
Act_221175,1.0
Act_263924,1.0
Act_227213,1.0
Act_227051,1.0
Act_263911,1.0
Act_285926,1.0
Act_285935,1.0
Act_223676,1.0
Act_280701,1.0
Act_284101,1.0
Act_260522,1.0
Act_284120,1.0
Act_280671,1.0
Act_280774,1.0
Act_284154,1.0
Act_280789,1.0
Act_260476,1.0
Act_280784,1.0
Act_284069,1.0
Act_236425,1.0
Act_285891,1.0
Act_263846,1.0
Act_285895,1.0
Act_284153,1.0
Act_285898,1.0
Act_263850,1.0
Act_284143,1.0
Act_234236,1.0
Act_280674,1.0
Act_263853,1.0
Act_263856,1.0
Act_263858,1.0
Act_260542,1.0
Act_260541,1.0
Act_280764,1.0
Act_280759,1.0
Act_285924,1.0
Act_280729,1.0
Act_284130,1.0
Act_280726,1.0
Act_284121,1.0
Act_280679,1.0
Act_260528,1.0
Act_222111,1.0
Act_221686,1.0
Act_280964,1.0
Act_280913,1.0
Act_258738,1.0
Act_280910,1.0
Act_280908,1.0
Act_285768,1.0
Act_263674,1.0
Act_263673,1.0
Act_280956,1.0
Act_258766,1.0
Act_260452,1.0
Act_280965,1.0
Act_263652,1.0
Act_284000,1.0
Act_263657,1.0
Act_258740,1.0
Act_258771,1.0
Act_285733,1.0
Act_284004,1.0
Act_263658,1.0
Act_280962,1.0
Act_285751,1.0
Act_284008,1.0
Act_284010,1.0
Act_285737,1.0
Act_260454,1.0
Act_263661,1.0
Act_284166,1.0
Act_263662,1.0
Act_263713,1.0
Act_284024,1.0
Act_221584,1.0
Act_263719,1.0
Act_263926,1.0
Act_280691,1.0
Act_284103,1.0
Act_263928,1.0
Act_263929,1.0
Act_260526,1.0
Act_263931,1.0
Act_280689,1.0
Act_263940,1.0
Act_280686,1.0
Act_263839,1.0
Act_237973,1.0
Act_280792,1.0
Act_263675,1.0
Act_285764,1.0
Act_258750,1.0
Act_280954,1.0
Act_280953,1.0
Act_280949,1.0
Act_280947,1.0
Act_280945,1.0
Act_263695,1.0
Act_280939,1.0
Act_280937,1.0
Act_285758,1.0
Act_280921,1.0
Act_260457,1.0
Act_258745,1.0
Act_259090,1.0
Act_260833,1.0
Act_263866,1.0
Act_283832,1.0
Act_283874,1.0
Act_281441,1.0
Act_285525,1.0
Act_260365,1.0
Act_281393,1.0
Act_263275,1.0
Act_263220,1.0
Act_285566,1.0
Act_263282,1.0
Act_285570,1.0
Act_281384,1.0
Act_260387,1.0
Act_258992,1.0
Act_284260,1.0
Act_260385,1.0
Act_285537,1.0
Act_285540,1.0
Act_259021,1.0
Act_285542,1.0
Act_281388,1.0
Act_281459,1.0
Act_283842,1.0
Act_281461,1.0
Act_260783,1.0
Act_263283,1.0
Act_285536,1.0
Act_260784,1.0
Act_263286,1.0
Act_285533,1.0
Act_281365,1.0
Act_281511,1.0
Act_281371,1.0
Act_281409,1.0
Act_283224,1.0
Act_281406,1.0
Act_259044,1.0
Act_281498,1.0
Act_259014,1.0
Act_260364,1.0
Act_281446,1.0
Act_263272,1.0
Act_285498,1.0
Act_263199,1.0
Act_260372,1.0
Act_260795,1.0
Act_281489,1.0
Act_285571,1.0
Act_285560,1.0
Act_263294,1.0
Act_263290,1.0
Act_263296,1.0
Act_281392,1.0
Act_260361,1.0
Act_281443,1.0
Act_263301,1.0
Act_281508,1.0
Act_281509,1.0
Act_260797,1.0
Act_284270,1.0
Act_281375,1.0
Act_263187,1.0
Act_283839,1.0
Act_263287,1.0
Act_260832,1.0
Act_285546,1.0
Act_281411,1.0
Act_285556,1.0
Act_263317,1.0
Act_258974,1.0
Act_258998,1.0
Act_259081,1.0
Act_259082,1.0
Act_281521,1.0
Act_283843,1.0
Act_285551,1.0
Act_259062,1.0
Act_285573,1.0
Act_263172,1.0
Act_285483,1.0
Act_259067,1.0
Act_263171,1.0
Act_285482,1.0
Act_285574,1.0
Act_281519,1.0
Act_285480,1.0
Act_281439,1.0
Act_281401,1.0
Act_260774,1.0
Act_259052,1.0
Act_283807,1.0
Act_263170,1.0
Act_283816,1.0
Act_283879,1.0
Act_277901,1.0
Act_283797,1.0
Act_281533,1.0
Act_285554,1.0
Act_281526,1.0
Act_281383,1.0
